카테고리 대분류필수,카테고리 중분류필수,카테고리 소분류필수,대화명(255 이내) - 필수,"답변내용(4,000자 이내) - 필수",동작방식1,동작명1,동작값1,동작방식2,동작명2,동작값2
환경표지인증,변경신청,가능여부,신규/갱신 진행 중 제품명 및 상호 변경 가능,신규 또는 갱신 인증 진행 중 제품관련 변경은 불가합니다. 신규 또는 갱신 인증 완료 이후에 변경이 가능합니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,변경신청,신청방법,회사 합병 인수 시 신청방법,"환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 서식 → 환경표지 인증내역 변경신청서를 다운로드하여 작성 후 변경신청서와 첨부자료(사업자등록증 사본, 인증서 원본, 인수?합병 관련 계약서 등의 자료)를 같이 제출하시면 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,변경신청,신청방법,제품명 변경 시 신청방법,"환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 서식 → 환경표지 인증내역 변경신청서를 다운로드하여 작성 후 변경신청서와 첨부자료(사업자등록증 사본, 공장등록증 사본, 인증서 원본, 제품관련 카달로그 및 설명서)를 같이 제출하시면 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,변경신청,신청방법,공장소재지 변경 시 신청방법,"환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 서식 → 환경표지 인증내역 변경신청서를 다운로드하여 작성 후 변경신청서와 첨부자료(사업자등록증 사본, 공장등록증 사본, 인증서 원본, 제품관련 카달로그 및 설명서, 환경법규위반 여부 확인 공문)를 제출하시면 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,변경신청,신청방법,"상호, 사업자, 대표자, 소재지 변경 시 신청방법","환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 서식 → 환경표지 인증내역 변경신청서를 다운로드하여 작성 후 변경신청서와 첨부자료(사업자등록증 사본, 인증서 원본)를 같이 제출하시면 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,변경신청,신청방법,변경 처리 소요 기간,"단순변경(사업자주소, 대표자변경, 업체명변경)은 환경표지 인증내역 변경신청서 수령 후 7일 이내에 처리 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,수수료와 사용료 결제방법,"결제 방법으로는 카드결제, 실시간계좌이체, 가상계좌 입금이 있으며, 해당 결제는 환경표지 온라인 신청 시스템(http://elms.keiti.re.kr)을 통해서만 결제가 가능합니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,수수료와 사용료 납부방법,환경표지 온라인 신청 시스템(http://elms.keiti.re.kr)에 접속 → 로그인 → 입금처리 → 조회 접속하시면 결제진행이 가능합니다. (환경표지 온라인 신청시스템 매뉴얼 참조),웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,사용료 분할납부 가능,연간 사용료가  200만원 이상일 경우[약정기간(3년)동안의 사용료가 600만원이상일 경우] 2회 분할납부가 가능합니다. 분할납부 방법은 사용료의 반액을 1차 납부하고 약정기간의 1년 이내에 나머지 반액에 대하여 2차 납부하여야 하며 납부를 하지 않은 경우 인증이 종료 됩니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,사용료 납부 기한/연장 가능,"사용료는 통보일로부터 2개월 이내에 납부하셔야 하며, 동 기간까지 납부하지 않을 경우 환경표지 인증 계약체결 의사가 없는 것으로 판단하여 환경표지 사용 승인이 취소됩니다. 단, 사용료 납부가 불가한 사유 발생시, 사용료 납부 연장 신청을 통해 1회에 한하여 납부기간을 15일간 연장할 수 있습니다. ",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,신청수수료 분할납부 가능,신청수수료는 분할납부가 안됩니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,결제 및 납부방법,신청수수료 납부기한 연장 가능,신청수수료의 경우 입금 기한 7일내에 입금 못한 경우 접수담당자(1577-7360)에게 연락하시면 해당 비용을 납부하실 수 있도록 도와드리고 있습니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,기타,사용료 입금 시 세금계산서 발급 가능,사용료 입금내역 확인 후 담당자 전자메일로 발송됩니다. 자세한 사항은 환경표지 접수처로 연락주시기 바랍니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,기타,사용료 확인 방법,"환경표지 인증심의결과는 공문으로 등기우편으로 보내드리며, 해당 결과 공문에서 사용료 확인이 가능합니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,기타,사용료 경감제도,중소·영세업자에 대하여 사용료에 대하여 경감을 해드립니다. · 전년도 업체 총매출액이 30억원 미만 사업자 : 연간사용료 30% 경감  · 전년도 업체 총매출액이 10억원 미만 사업자 : 연간사용료 50% 경감 ※ 전년도(1년) 부가가치세과세표준증명원 제출 필요,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,기타,신청수수료 입금 시 세금계산서 발급 가능,신청수수료 입금내역 확인 후 담당자 전자메일로 발송됩니다. 자세한 사항은 환경표지 접수처로 연락주시기 바랍니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,기타,신청수수료 경감제도,"신청제품수에 따라 신청수수료 중 기본수수료에 대하여 경감을 해드립니다. · 1~10개 제품 : 제품수 × 50,000원 (경감 없음) · 11~50개 제품 : 10개 이상 제품수 × 35,000원/제품 (30% 경감에 해당) · 51~100개 제품 : 50개 이상 제품수 × 25,000원/제품 (50% 경감에 해당)",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,인증비용 정보,사용료는 얼마,환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 비용납부 정보 내용을 참고해주시기 바랍니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,인증비용 정보,파생제품등록 수수료,파생제품등록의 경우 제품당 5만원(부가가치세 별도) 입니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,인증비용 정보,변경 수수료는 얼마,"환경표지 인증내역 변경 신청의 경우 수수료는 인증서 수, 제품 수, 기타 사항의 건 수와 상관없이 신청 시 5만원(부가세 10% 별도)이 부과됩니다. 다만, 단순변경(사업자주소, 대표자변경, 업체명변경)의 경우 수수료가 없습니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,인증비용 정보,신청수수료(신규/갱신)는 얼마,"신청수수료는 기본 수수료, 인증 심사비, 출장비의 총액으로 산정됩니다. · 기본 수수료 : 50,000원/제품  · 인증심사비 : 접수 건 당 약 52만원 (엔지니어링사업대가기준에 따름) · 출장비 : 생산 공장까지 경비 (공무원 여비기준에 따름)  * 현장심사가 제외되는 갱신 건의 경우, 산정시 출장비 제외",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,수수료 및 사용료,인증비용 정보,환경표지인증 관련 비용 종류,"신청수수료, 시험 비용, 사용료가 있으며 각각의 비용은 다음과 같습니다. · 신청수수료 : 서류 신청에 소요되는 비용 · 시험비용 : 시험기관에 납부하는 비용(자세한 비용은 시험기관에 문의) · 사용료 : 심의결과 승인된 제품에 부과되는 비용",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증결과,시험성적서,인증된 제품 시험성적서 사본 발급 가능,공문으로 요청하시면 시험성적서 사본을 우편이나 팩스로 송부 해드립니다. 시험성적서 원본은 심의 종료 후 등기우편을 통해 발송드리고 있습니다. 원본을 받지 못하신 경우 담당 심사원에게 문의하시면 확인하여 처리해 드리고 있습니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증결과,심의결과,최종 심의결과 언제 확인,심의결과는 심의 후 3일 이내에 휴대전화 문자(신청자 번호로 발송) 또는 환경마크 인증시스템 로그인을 통해 확인하실 수 있습니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증결과,심의결과,결과공문 확인 방법,별도의 결과공문을 발송드리고 있지 않습니다. 심의 결과에 대한 내용은 환경마크 인증 신청 시스템에 로그인하셔서 결과통보문을 별도로 열람하거나 출력하실 수 있습니다. 신청 제품이 부결로 통보된 경우에는 부결통보문을 통해 부결 사유 등을 확인하실 수 있습니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증결과,인증서 발급,영문인증서 발급 가능,가능합니다. 환경마크 인증시스템 영문인증서 신청 단을 이용하셔서 온라인으로 영문인증서 발급 신청을 하실 수 있습니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증결과,인증서 발급,인증서 분실 시 재발급 가능,가능합니다. 환경마크 인증시스템에 로그인 하신후 인증서 관리 단의 인증서 출력을 통해 새로운 인증서를 발급 받으실 수 있습니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,가능여부,환경표지 인증 신청 가능 제품 확인 방법,"환경표지 홈페이지(http://el.keiti.re.kr)「홈 → 인증기준」을 통해서 환경표지 대상제품 및 인증기준을 제공하고 있으며, 기준검토 이후, 환경마크 인증시스템을 통해 온라인으로만 인증을 실청하실 수 있습니다. ",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,검증방법,현장심사 진행 방식,"현장심사는 고시된 인증기준의 적합성 여부를 현장에서 직접 확인하거나 시료를 채취하여 시험분석기관에 의뢰하여 조사하는 것을 말하며, 실태조사는 제조 공장을 대상으로 인증기준의 환경 및 품질기준을 지속적으로 유지ㆍ관리 할 수 있는 능력에 대해 평가하는 것을 말합니다. ",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,검증방법,실태조사 진행 방식,"현장방문을 통해 실태조사를 실시하며, 심사 결과 총70점 이상을 획득한 공장에서 생산한 동일 대상제품군의 경우에는 향후 4년간 현장심사 및 램덤샘플링을 생략하고 공인 시험ㆍ검사기관의 성적서로 갈음하여 인증을 받을 수 있습니다. ",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,검증방법,현장 심사 시 확인 사항,해당 인증기준 ‘라. 시험방법’에 제시된 인증기준 항목별 검증방법을 중심으로 확인하게 됩니다. 자세한 사항은 배정된 담당자에게 문의하시면 됩니다.,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,검증방법,인증관련 담당자/현장심사일 확인 방법,"환경마크 온라인 인증 신청 시 신청자 정보에 입력된 휴대폰 번호를 통해 배정된 담당자와 현장심사일정을 문자(SMS)로 발송해 드리고 있으며, 자세한 사항은 환경표지 온라인 신청시스템(http://elms.keiti.re.kr)에서 확인이 가능합니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,동일인정인증제품,동일인정인증제품 신청 방법,"환경마크 인증 신청 시스템을 통해 온라인으로 신청 가능하며, 신규 인증 진행절차와 동일하게 진행되나 현장심사와 시험분석 의뢰 및 검증은 생략됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,동일인정인증제품,동일인정인증제품이란,동일인정인증제품은 기인증 기업의 동의 하에 인증 중인 제품을 수급하여 다른 판매자가 제품명만 달리하여 판매하는 경우 신청하여 인증 받는 제도입니다. 동일인정인증제품의 인증기간은 기인증제품의 인증기간과 동일합니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,신청방법,신청수수료 납부 이후 인증완료까지 소요 기간,"법정소요일은 30일 이내이며, 동 기간에는 현장검증기간, 자료제출기간, 시험검증기간은 포함되지 않습니다. ",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,신청방법,인증업무 절차,대상제품군별 인증기준 확인 → 인증신청서 제출 → 수수료 납부 → 접수 → 심사원배정 및 현장심사일 통보 → 서류검토 및 자료보완 → 현장심사 → 시험성적서 수령 → 인증심의위원회 심의 → 심의결과 통보 → 사용료 납부 → 인증서 교부 → 환경표지 사용,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,신청방법,환경표지 인증 신규 신청 접수기간,환경마크 인증 신청은 환경마크 인증 신청시스템을 통해 상시 신청하실 수 있습니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,신청방법,방문 상담 가능,우리 원으로 방문 시 상담은 수시로 제공하고 있습니다. 별도 연락 없이 방문하셔도 상담이 가능합니다. 방문 상담 이외에도 온라인 또는 유선 전화로도 언제나 상담이 가능합니다. 환경마크 인증상담센터(1577-7360)를 활용하시어 담당자 확인 후 전화 주시기 바랍니다. ,웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증신청,필요서류,환경표지 인증 신청 시 제출서류,"환경표지 인증 신청시 함께 제출하는 서류는 환경마크 인증신청서, 사업자등록증 및 공장등록증 사본, 제품공정도, MSDS(물질안전보건자료), 제품 카달로그, 기타 증빙자료 등이 있습니다. 제출서류 관련 문의사항은 온라인 신청서를 접수하시면 상담센터에서 확인 후 안내해 드리고 있습니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증현황/관리,인증 기업 · 제품 조회,현재 인증 중 업체 및 제품 확인 방법,녹색제품정보시스템(http://www.greenproduct.go.kr)에 접속 후 검색하시면 확인 가능합니다. 또한 환경마크 홈페이지 정보마당 자료실에서 월별 인증제품 현황을 다운로드 받아 확인하실 수 있습니다.,웹링크,바로가기,http://www.greenproduct.go.kr,전화걸기,바로전화,1577-7360
환경표지인증,인증현황/관리,인증 사후관리,환경표지 인증 후 사후 관리 방식,"제품사후관리실에서는 인증기준 적합여부 조사를 위한 사전예고를 실시하고 인증업체에서는 1개월 이내에 품질관리 내역서를 제출하여야 합니다. 제출된 품질관리 내역서의 검토를 거쳐 선별된 업체를 대상으로 시중에 판매되는 제품을 수거하거나 생산현장을 방문하여 시료수거 및 시험분석을 진행하고, 시험분석 결과가 인증기준에 적합한지 여부와 해당 제품의 판매 현황, 환경표지 도안 사용 규정의 준수 여부를 확인합니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,02-2284-1947
환경표지인증,인증현황/관리,환경표지 무단사용 조치,환경표지 무단사용 시 조치 방법,"제품사후관리실에서는 환경표지등의 인증을 받지 아니하고 환경표지 등 또는 이와 유사한 표지를 표시하거나 환경표지등의 인증에 관한 광고를 하는 행위에 대한 조사를 실시합니다. 동 사실이 발견될 경우,「환경기술 및 환경산업 지원법」제34조에 따라 2년 이하의 징역 또는 1천만원 이하의 벌금에 처해지게 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,02-2284-1947
환경표지인증,파생신청,가능여부,파생제품 추가 가능,"가능합니다. 다만, 기 인증 제품과 환경성 및 품질에 변동사항이 없다면(원료사용 내역 및 모든 사양이 동일한 경우) 파생제품 등록이 가능합니다. 더불어 대상제품군에 따라 제품의 추가 가능 여부가 다를 수 있기 때문에 인증기준 및 제품단위 자료를 환경표지 홈페이지(http://el.keiti.re.kr)에서 반드시 확인하시기 바랍니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,파생신청,가능여부,동일 제품의 명칭 변경 파생제품 판매 가능,"환경표지 홈페이지(http://el.keiti.re.kr) 홈 → 정보마당 → 서식 → 환경표지 파생제품 등록 신청서를 다운로드 하여 작성 후 환경표지 파생제품 등록신청서와 첨부자료(인증서 원본, 제품관련 카달로그 및 설명서)를 같이 제출하시면 됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,파생신청,신청방법,파생제품 등록 시 현장심사 및 시험의뢰 진행 여부,"파생제품 등록의 경우 현장심사나 시험의뢰를 진행하지 않으며, 서류심사를 통해 진행됩니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
환경표지인증,파생신청,신청방법,파생제품 처리 기간,"파생제품 등록의 경우 처리기간은 수수료 납부 후 15일 이내에 처리 됩니다. 다만, 자료보완 사항 발생 시 업체가 자료를 보완하시는 기간은 처리기간에 포함되지 않습니다.",웹링크,바로가기,http://elms.keiti.re.kr,전화걸기,바로전화,1577-7360
